#Verb,Root,Sep,Trans
aufkreuzen,kreuzen,y,show up
versammeln,sammeln,n,to assemble
überwachen,wachen,n,monitor
ausbaden,baden,y,pay for
einspeisen,speisen,y,to inject
verfechten,fechten,n,to advocate
bewundern,wundern,n,to admire
austrinken,trinken,y,to drink up
befolgen,folgen,n,to follow
zusprechen,sprechen,y,to adjudge
einimpfen,impfen,y,to inoculate
,drängen,n,to edge (on)
,schwören,n,to vow
einatmen,atmen,y,to inhale
ausatmen,atmen,y,exhale
einschmeicheln,schmeicheln,y,ingratiate
einbringen,bringen,y,to bring in
antreiben,treiben,y,to drive
einwirken,wirken,y,to appeal
übergehen,gehen,y,to migrate
hinsetzen,setzen,y,to sit down
bezwingen,zwingen,n,to conquer
betragen,tragen,n,amount to
vorherrschen,herrschen,y,to predominate
,brüten,n,brood
,blitzen,n,twinkling
,thronen,n,be enthroned
versenden,senden,n,to convey
beeilen,eilen,n,to hasten
entspringen,springen,n,arise
durchfließen,fließen,n,to flow through
auswählen,wählen,y,to elect
abtreten,treten,y,to cede
gefallen,fallen,n,dropped
aufstellen,stellen,y,situate
befestigen,festigen,n,to attach
,festigen,n,to tighten
zusammensetzen,setzen,y,to compose
anordnen,ordnen,y,to arrange
einbauen,bauen,y,to build in
,strafen,n,to chastise
berichten,richten,n,to refer
zurückgehen,gehen,y,to go back
ankündigen,kündigen,y,to advertise
anfertigen,fertigen,y,make
,fertigen,n,to manufacture
,herrschen,n,to dominate
ausbleiben,bleiben,y,to stay away
beherrschen,herrschen,n,to control
,gründen,n,to build
begründen,gründen,n,to back up
aufbauen,bauen,y,to build (up)
,schmeicheln,n,adulate
versetzen,setzen,n,to displace
vorgehen,gehen,y,to go ahead
berechnen,rechnen,n,to bill
ersetzen,setzen,n,superseding
begreifen,greifen,n,comprehend
aussetzen,setzen,y,to suspend
,sorgen,n,to worry
besorgen,sorgen,n,to deal with
bewirken,wirken,n,effectuate
,mieten,n,hire
eröffnen,öffnen,n,opening
entthronen,thronen,n,to dethrone
zurückbleiben,bleiben,y,to fall behind
vorschlagen,schlagen,y,to submit
abholen,holen,y,to call for
wiedererlangen,erlangen,y,to get back
einordnen,ordnen,y,pigeonhole
zurücktreten,treten,y,to recede
einschlagen,schlagen,y,to stave in
zusagen,sagen,y,to appeal
ausdehnen,dehnen,y,distend
fortgehen,gehen,y,to go away
entkommen,kommen,n,to escape
mitkommen,kommen,y,to come along
umkommen,kommen,y,to go to waste
verkommen,kommen,n,reprobated
vorwegnehmen,nehmen,y,to anticipate
entheben,heben,n,depose
abfallen,fallen,y,to apostatize
verhandeln,handeln,n,to negotiate
vorfallen,fallen,n,to occur
anschrauben,schrauben,y,to screw on
mitnehmen,nehmen,y,to pick up
durchbrechen,brechen,y,to breach
ausbrüten,brüten,y,to hatch
verdichten,dichten,n,to concondense
herausstellen,stellen,y,to expose
überleben,leben,n,to live out [Am.]
,lohnen,n,to remunerate
einkaufen,kaufen,y,shopping
,fürchten,n,dread
,meiden,n,to avoid
verschlagen,schlagen,n,wily
umbinden,binden,y,to tie round
freisetzen,setzen,y,to release
unterstellen,stellen,n,to assume
unterlassen,lassen,n,to forbore
verdrücken,drücken,n,to stow away
abgeraten,geraten,y,dissuaded
,wecken,n,awaked
obliegen,liegen,n,behoove
,tropfen,n,to drop
überfliegen,fliegen,n,to fly over
anhaben,haben,y,to have on
,stärken,n,to strengthen
,streuen,n,strewn
bewohnen,wohnen,n,indwell
,konstruieren,n,construct
aushärten,härten,y,to cure
verschulden,schulden,n,to encumber with debts
beschützen,schützen,n,to patronize
niederschlagen,schlagen,y,to condense
,rasten,n,speeded
,löten,n,braze
verkürzen,kürzen,n,to abbreviate
hinrichten,richten,y,to electrocute
,rütteln,n,to jiggle
zerreiben,reiben,n,to bray
vermessen,messen,n,overconfident
,bessern,n,to amend
umfliegen,fliegen,n,to fly round
entgehen,gehen,n,to escape
nachvollziehen,vollziehen,y,to comprehend
,rosten,n,oxidize
aufwecken,wecken,y,arouse
,schlingen,n,noose
herunterkommen,kommen,y,to descend
,pflücken,n,to cull
bekennen,kennen,n,to avow
verschwimmen,schwimmen,n,to become blurred
verstärken,stärken,n,to amplify
,kürzen,n,to abbreviate
absägen,sägen,y,to saw off
,duften,n,to smell
,dauern,n,to last
,impfen,n,to inoculate
unterdrücken,drücken,n,to eliminate
ausbauen,bauen,y,demount
hinreißen,reißen,y,to ravish
anbauen,bauen,y,to cultivate
andeuten,deuten,y,insinuate
einschätzen,schätzen,y,to assess
auszeichnen,zeichnen,y,signalize
vernehmen,nehmen,n,to hear {heard, heard}
abfragen,fragen,y,sample
ersuchen,suchen,n,to entreat
ausweichen,weichen,y,to dodge
beliefern,liefern,n,to provide
bewachen,wachen,n,to guard
,sichern,n,to assure
umsteigen,steigen,y,to change
unterzeichnen,zeichnen,n,execute
verschachern,schachern,n,to barter away
ausrechnen,rechnen,y,to figure out
besagen,sagen,n,proved
,sägen,n,sawn
rechtfertigen,fertigen,n,to back up
,einigen,n,to unite
nachlassen,lassen,y,sunk
befürchten,fürchten,n,to fear
,sortieren,n,to assort
aussteigen,steigen,y,to disembark
einsteigen,steigen,y,to get in
ansteigen,steigen,y,to rise
aufsteigen,steigen,y,to arise
ersteigen,steigen,n,to scale
,schädigen,n,to dammage
,wundern,n,to surprise
,weichen,n,to give way
aufschlagen,schlagen,y,to serve
,wachen,n,to wake {woke, woken}
,erben,n,inherit
unternehmen,nehmen,n,to undertake {undertook, undertaken}
ablaufen,laufen,y,pass
verschlafen,schlafen,n,to oversleep
anklopfen,klopfen,y,to knock at
ausschlagen,schlagen,y,to redound
verschlingen,schlingen,n,to devour
widerstehen,stehen,n,to resist
,hätscheln,n,to cuddle
vorhaben,haben,y,to intend
anschicken,schicken,y,prepare for
,schmachten,n,to languish
verschmachten,schmachten,n,to swelter
,benennen,n,denominate
benennen,nennen,n,denominate
entzünden,zünden,n,to ignite
ausbessern,bessern,y,to darn
entfallen,fallen,n,to be cancelled
überfallen,fallen,n,ambush
versichern,sichern,n,to affirm
anstarren,starren,y,to gaze (at)
,sperren,n,barricade
einsperren,sperren,y,to corral
hervorheben,heben,y,distinguish
verprügeln,prügeln,y,to baste
abwickeln,wickeln,y,to liquidate
vorschießen,schießen,y,to dash forward
abschöpfen,schöpfen,y,to skim
verhätscheln,hätscheln,n,to cocker
beantworten,antworten,n,to answer
versteigern,steigern,n,auction
anfechten,fechten,y,to arraign
auswandern,wandern,y,to emigrate
,stützen,n,to base on
vertagen,tagen,n,to adjourn
erleiden,leiden,n,to suffer
beschimpfen,schimpfen,n,to insult
überwiegen,wiegen,n,to outweigh
abschleppen,schleppen,y,to haul off
beschmieren,schmieren,n,to bedaub
abrufen,rufen,y,to demand
mitreißen,reißen,y,to carry away
auftauchen,tauchen,y,to appear
,zaubern,n,to conjure
erstreben,streben,n,aim at
umlaufen,laufen,y,to circulate
anklagen,klagen,y,to accuse
abhaken,haken,y,to check off
abhacken,hacken,y,to chop
herabsetzen,setzen,y,to abandon ship
anbeten,beten,y,to adore
erfreuen,freuen,n,gladden
vergreifen,greifen,n,to make a mistake
einteilen,teilen,y,to divide in
,steigern,n,to increase (in)
durchsuchen,suchen,n,to hunt
ausrüsten,rüsten,y,to accoutre
freistellen,stellen,y,exempt
verbrauchen,brauchen,n,consuming
gernhaben,haben,y,like
ergründen,gründen,n,fathom
missbilligen,billigen,n,to condemn
ablösen,lösen,y,to unsolder
aufwärmen,wärmen,y,to heat (up)
abstecken,stecken,y,to define
abgewöhnen,gewöhnen,y,to give up
einspringen,springen,y,to enter into
austreten,treten,y,resign from
ausfragen,fragen,y,to question
ernennen,nennen,n,to appoint
einfangen,fangen,y,to capture
,wringen,n,to wring {wrung, wrung}
,scherzen,n,frolic
,sickern,n,to drip
absichern,sichern,y,provide security for
zerfallen,fallen,n,moldered
abfließen,fließen,y,to drain off
demontieren,montieren,n,to dismantle
aufkochen,kochen,y,boil up
anlügen,lügen,y,to lie to
entreißen,reißen,n,wrest
verschenken,schenken,n,to give away
,pressen,n,to huddle
,würgen,n,to choke
anmalen,malen,y,to paint
ankleben,kleben,y,to stick on
verfangen,fangen,n,to be caught
missfallen,fallen,n,displeased
ausspucken,spucken,y,to disgorge
entehren,ehren,n,dishonor
vorzeigen,zeigen,y,to produce
vorübergehen,gehen,y,to go by
aufrufen,rufen,y,to invoice
,räumen,n,to evacuate
weglaufen,laufen,y,to run away
anstecken,stecken,y,infect
anbeißen,beißen,y,to bite into
aufbleiben,bleiben,y,to sit up
erschießen,schießen,n,to shoot dead
herausnehmen,nehmen,y,to rarefy
verstellen,stellen,n,to misplace
einreiben,reiben,y,anoints
ausliefern,liefern,y,extradite
aussterben,sterben,y,to die out
überlaufen,laufen,y,to overflow
beklagen,klagen,n,to bemoan
heraufbeschwören,beschwören,y,to conjure up
,beschwören,n,to adjure
beschwören,schwören,n,to adjure
abspülen,spülen,y,to wash up
aufteilen,teilen,y,to apportion
erfordern,fordern,n,requisiting
absterben,sterben,y,to die off
aufschließen,schließen,y,to unlock
zuschließen,schließen,y,to lock
einkochen,kochen,y,boil down
dastehen,stehen,y,stand there
erschlagen,schlagen,n,to strike dead
verreißen,reißen,n,to pull to pieces
aufstoßen,stoßen,y,to belch
rekonstruieren,konstruieren,n,to reconstruct
verdreschen,dreschen,n,to lam
entzweibrechen,brechen,y,break in two
verduften,duften,n,to beat it
beiwohnen,wohnen,y,to attend
ehebrechen,brechen,n,commit adultery
voranbringen,anbringen,y,to promote
stillstehen,stehen,y,to stand idle
verfliegen,fliegen,n,to fly away
durchmachen,machen,y,to undergo {underwent, undergone}
durchgehen,gehen,y,to peruse
eintauchen,tauchen,y,to dip (in, into)
aufblitzen,blitzen,y,to flash
verwerfen,werfen,n,to overrule
mitgehen,gehen,y,to go along
eingestehen,gestehen,y,to admit to
nachstellen,stellen,y,to readjust
umwerfen,werfen,y,to knock over
verkündigen,kündigen,n,to declare
zerschlagen,schlagen,n,to annihilate
abpflücken,pflücken,y,to pick
erzwingen,zwingen,n,enforce
berufen,rufen,n,to convene
zusammenbrechen,brechen,y,to break down
wegwerfen,werfen,y,to throw away
aufrechterhalten,erhalten,y,to uphold
durchlaufen,laufen,y,to pass through
anfallen,fallen,y,to accrue
ausbügeln,bügeln,y,to iron out
abfassen,fassen,y,to compose
bestreuen,streuen,n,bestrew
abtropfen,tropfen,y,to drip off
aufwarten,warten,y,wait on
anreißen,reißen,n,to scribe
verzerren,zerren,n,to distort
verlöten,löten,n,to solder (up)
verachten,achten,n,to despise
,strahlen,n,to beam
,schulden,n,to owe
entspannen,spannen,n,to relax
wegkommen,kommen,y,to get away
bestreiten,streiten,n,to argue
,staunen,n,to marvel
,gestehen,n,to confess
gestehen,stehen,n,to confess
ausstehen,stehen,y,born
verrechnen,rechnen,n,to pass to account
untertauchen,tauchen,y,submerge
freisprechen,sprechen,y,absolve
verscherzen,scherzen,n,to throw away
vergelten,gelten,n,to reciprocate
unterbringen,bringen,y,situate
verklagen,klagen,n,to sue
,wärmen,n,to heat (up)
einschiffen,schiffen,y,to embark
entstellen,stellen,n,to deface
entweichen,weichen,n,to escape
verstoßen,stoßen,n,contravene
umstoßen,stoßen,y,to knock over
zurückschicken,schicken,y,to remand
erachten,achten,n,deem
errechnen,rechnen,n,to generate
zusammenstellen,stellen,y,to assemble
herbeirufen,rufen,y,to send for
abtrennen,trennen,y,to detach
anhängen,hängen,y,to append
